id,Geographic Area Name,Household median income
0500000US05049,"Fulton County, Arkansas",35274
0500000US05051,"Garland County, Arkansas",48150
0500000US05053,"Grant County, Arkansas",59051
0500000US05055,"Greene County, Arkansas",50083
0500000US05057,"Hempstead County, Arkansas",45484
0500000US05059,"Hot Spring County, Arkansas",46390
0500000US05061,"Howard County, Arkansas",38038
0500000US05063,"Independence County, Arkansas",48972
0500000US05065,"Izard County, Arkansas",42818
0500000US05067,"Jackson County, Arkansas",37885
0500000US05069,"Jefferson County, Arkansas",40402
0500000US05071,"Johnson County, Arkansas",39346
0500000US05073,"Lafayette County, Arkansas",33763
0500000US05075,"Lawrence County, Arkansas",40587
0500000US05077,"Lee County, Arkansas",27902
0500000US05079,"Lincoln County, Arkansas",46554
0500000US05081,"Little River County, Arkansas",48966
0500000US05083,"Logan County, Arkansas",44232
0500000US05085,"Lonoke County, Arkansas",59278
0500000US05087,"Madison County, Arkansas",41446
0500000US05089,"Marion County, Arkansas",38426
0500000US05091,"Miller County, Arkansas",45391
0500000US05093,"Mississippi County, Arkansas",42986
0500000US05095,"Monroe County, Arkansas",38438
0500000US05097,"Montgomery County, Arkansas",41165
0500000US05099,"Nevada County, Arkansas",39946
0500000US05101,"Newton County, Arkansas",39542
0500000US05103,"Ouachita County, Arkansas",38279
0500000US05105,"Perry County, Arkansas",44926
0500000US05107,"Phillips County, Arkansas",33724
0500000US05109,"Pike County, Arkansas",42983
0500000US05111,"Poinsett County, Arkansas",40700
0500000US05113,"Polk County, Arkansas",39084
0500000US05115,"Pope County, Arkansas",46004
0500000US05117,"Prairie County, Arkansas",42754
0500000US05119,"Pulaski County, Arkansas",52930
0500000US05121,"Randolph County, Arkansas",42844
0500000US05123,"St. Francis County, Arkansas",36053
0500000US05125,"Saline County, Arkansas",66876
0500000US05127,"Scott County, Arkansas",42635
0500000US05129,"Searcy County, Arkansas",35077
0500000US05131,"Sebastian County, Arkansas",47878
0500000US05133,"Sevier County, Arkansas",47872
0500000US05135,"Sharp County, Arkansas",35573
0500000US05137,"Stone County, Arkansas",36067
0500000US05139,"Union County, Arkansas",45293
0500000US05141,"Van Buren County, Arkansas",40442
0500000US05143,"Washington County, Arkansas",52380
0500000US05145,"White County, Arkansas",44000
0500000US05147,"Woodruff County, Arkansas",40331
0500000US05149,"Yell County, Arkansas",47981
0500000US06001,"Alameda County, California",104888
0500000US06003,"Alpine County, California",85750
0500000US06005,"Amador County, California",65187
0500000US06007,"Butte County, California",54972
0500000US06009,"Calaveras County, California",67054
0500000US06011,"Colusa County, California",59427
0500000US06013,"Contra Costa County, California",103997
0500000US06015,"Del Norte County, California",49981
0500000US06017,"El Dorado County, California",83710
0500000US06019,"Fresno County, California",57109
0500000US06021,"Glenn County, California",51682
0500000US06023,"Humboldt County, California",49235
0500000US06025,"Imperial County, California",46222
0500000US06027,"Inyo County, California",59296
0500000US06029,"Kern County, California",54851
0500000US06031,"Kings County, California",61556
0500000US06033,"Lake County, California",49254
0500000US06035,"Lassen County, California",56971
0500000US06037,"Los Angeles County, California",71358
0500000US06039,"Madera County, California",61924
0500000US06041,"Marin County, California",121671
0500000US06043,"Mariposa County, California",50960
0500000US06045,"Mendocino County, California",52915
0500000US06047,"Merced County, California",56330
0500000US06049,"Modoc County, California",51250
0500000US06051,"Mono County, California",64924
0500000US06053,"Monterey County, California",76943
0500000US06055,"Napa County, California",92219
0500000US06057,"Nevada County, California",68333
0500000US06059,"Orange County, California",94441
0500000US06061,"Placer County, California",93677
0500000US06063,"Plumas County, California",57233
0500000US06065,"Riverside County, California",70732
0500000US06067,"Sacramento County, California",70684
0500000US06069,"San Benito County, California",85808
0500000US06071,"San Bernardino County, California",65761
0500000US06073,"San Diego County, California",82426
0500000US06075,"San Francisco County, California",119136
0500000US06077,"San Joaquin County, California",68628
0500000US06079,"San Luis Obispo County, California",77948
0500000US06081,"San Mateo County, California",128091
0500000US06083,"Santa Barbara County, California",78925
0500000US06085,"Santa Clara County, California",130890
0500000US06087,"Santa Cruz County, California",89986
0500000US06089,"Shasta County, California",57139
0500000US06091,"Sierra County, California",52103
0500000US06093,"Siskiyou County, California",47403
0500000US06095,"Solano County, California",84638
0500000US06097,"Sonoma County, California",86173
0500000US06099,"Stanislaus County, California",62873
0500000US06101,"Sutter County, California",63502
0500000US06103,"Tehama County, California",48895
0500000US06105,"Trinity County, California",41780
0500000US06107,"Tulare County, California",52534
0500000US06109,"Tuolumne County, California",60509
0500000US06111,"Ventura County, California",89295
0500000US06113,"Yolo County, California",73746
0500000US06115,"Yuba County, California",59424
0500000US08001,"Adams County, Colorado",73817
0500000US08003,"Alamosa County, Colorado",41121
0500000US08005,"Arapahoe County, Colorado",80291
0500000US08007,"Archuleta County, Colorado",55658
0500000US08009,"Baca County, Colorado",34655
0500000US08011,"Bent County, Colorado",38083
0500000US08013,"Boulder County, Colorado",87476
0500000US08014,"Broomfield County, Colorado",101206
0500000US08015,"Chaffee County, Colorado",55176
0500000US08017,"Cheyenne County, Colorado",67763
0500000US08019,"Clear Creek County, Colorado",71919
0500000US08021,"Conejos County, Colorado",33611
0500000US08023,"Costilla County, Colorado",34732
0500000US08025,"Crowley County, Colorado",40785
0500000US08027,"Custer County, Colorado",60361
0500000US08029,"Delta County, Colorado",47968
0500000US08031,"Denver County, Colorado",72661
0500000US08033,"Dolores County, Colorado",56786
0500000US08035,"Douglas County, Colorado",121393
0500000US08037,"Eagle County, Colorado",85877
0500000US08039,"Elbert County, Colorado",104231
0500000US08041,"El Paso County, Colorado",71517
0500000US08043,"Fremont County, Colorado",52364
0500000US08045,"Garfield County, Colorado",75435
0500000US08047,"Gilpin County, Colorado",90547
0500000US08049,"Grand County, Colorado",71769
0500000US08051,"Gunnison County, Colorado",60557
0500000US08053,"Hinsdale County, Colorado",39038
0500000US08055,"Huerfano County, Colorado",40255
0500000US08057,"Jackson County, Colorado",46157
0500000US08059,"Jefferson County, Colorado",87793
0500000US08061,"Kiowa County, Colorado",39503
0500000US08063,"Kit Carson County, Colorado",50411
0500000US08065,"Lake County, Colorado",65858
0500000US08067,"La Plata County, Colorado",69291
0500000US08069,"Larimer County, Colorado",76366
0500000US08071,"Las Animas County, Colorado",44159
0500000US08073,"Lincoln County, Colorado",47042
0500000US08075,"Logan County, Colorado",49560
0500000US08077,"Mesa County, Colorado",57157
0500000US08079,"Mineral County, Colorado",53571
0500000US08081,"Moffat County, Colorado",54583
0500000US08083,"Montezuma County, Colorado",50717
0500000US08085,"Montrose County, Colorado",54611
0500000US08087,"Morgan County, Colorado",58468
0500000US08089,"Otero County, Colorado",43075
0500000US08091,"Ouray County, Colorado",68893
0500000US08093,"Park County, Colorado",76611
0500000US08095,"Phillips County, Colorado",50426
0500000US08097,"Pitkin County, Colorado",82455
0500000US08099,"Prowers County, Colorado",42648
0500000US08101,"Pueblo County, Colorado",49979
0500000US08103,"Rio Blanco County, Colorado",54247
0500000US08105,"Rio Grande County, Colorado",43570
0500000US08107,"Routt County, Colorado",76198
0500000US08109,"Saguache County, Colorado",45231
0500000US08111,"San Juan County, Colorado",56875
0500000US08113,"San Miguel County, Colorado",66898
0500000US08115,"Sedgwick County, Colorado",43875
0500000US08117,"Summit County, Colorado",80709
0500000US08119,"Teller County, Colorado",61463
0500000US08121,"Washington County, Colorado",51181
0500000US08123,"Weld County, Colorado",74332
0500000US08125,"Yuma County, Colorado",54393
0500000US09001,"Fairfield County, Connecticut",97539
0500000US09003,"Hartford County, Connecticut",76259
0500000US09005,"Litchfield County, Connecticut",81590
0500000US09007,"Middlesex County, Connecticut",84907
0500000US09009,"New Haven County, Connecticut",71370
0500000US09011,"New London County, Connecticut",75831
